GitHub,creationDate,endDate,RestrictedContributionsCount,CommitContributions,PullRequestReviewContributions,commitComments,issueComments,gistComments,repositoryDiscussionComments,issues,gists,projects,pullRequests,repositoryDiscussions,repoACount,forkACount,stargazerACount,Awatchers,repoASize,AlanguageInfo,repoBCount,forkBCount,stargazerBCount,Bwatchers,repoBSize,BlanguageInfo,repoCCount,forkCCount,stargazerCCount,Cwatchers,repoCSize,ClanguageInfo,repoDCount,forkDCount,stargazerDCount,Dwatchers,repoDSize,DlanguageInfo
USER55,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER56,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,0,0,223490,CSS: 203014; Python: 14354; HTML: 6122,1,0,0,1,223490,CSS: 203014; Python: 14354; HTML: 6122,0,0,0,0,0,
USER57,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER58,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,8,89,0,0,8,0,0,7,1,0,0,0,3,71,142,8,70017,Java: 25812; CSS: 23492; HTML: 20125; JavaScript: 588,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER59,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,1,21,0,0,0,0,0,0,0,0,0,0,2,0,0,2,16304,C++: 15766; CMake: 538,1,0,0,2,46989,C++: 37974; Scala: 4180; Shell: 2830; Makefile: 1798; SuperCollider: 207,0,0,0,0,0,,0,0,0,0,0,
USER60,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER61,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2348,Python: 2348,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER62,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER63,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER64,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,1387276,Jupyter Notebook: 1156361; Verilog: 198022; Python: 28411; Coq: 3321; Makefile: 1161,0,0,0,0,0,
